page,source_layer,parse_note,player,handedness,team,pitcher,game,weak_slots,lineup_slot,pull_pct,sweet_spot_pct,barrel_pct,hard_hit_pct,dmg,hr_pa,hpi,pitch_edge,hr_alert,tags,effort,_metric_count,ingestion_confidence,needs_recovery
1,startool_sequential_parser,rank_player_card_block,JJ Wetherholt,L,St. Louis Cardinals,Chris Paddack,St. Louis Cardinals vs Chris Paddack,,8.0,23.0,30.3,7.0135,20.0,1.079,2.9,36.0,10.0,True,"Platoon, Rakes RHP, Weak Slot, ALERT",25.0,8,1.0,False
2,startool_sequential_parser,rank_player_card_block,Iván Herrera,R,St. Louis Cardinals,Chris Paddack,St. Louis Cardinals vs Chris Paddack,,,19.0,17.1,9.1325,28.6,1.405,3.0,46.0,5.0,True,ALERT,25.0,8,1.0,False
2,startool_sequential_parser,rank_player_card_block,Alec Burleson,L,St. Louis Cardinals,Chris Paddack,St. Louis Cardinals vs Chris Paddack,,6.0,20.0,21.9,10.3675,34.85,1.595,3.2,41.0,8.0,True,"Platoon, Rakes RHP, Weak Slot, ALERT",33.0,8,1.0,False
2,startool_sequential_parser,rank_player_card_block,Jordan Walker,R,St. Louis Cardinals,Chris Paddack,St. Louis Cardinals vs Chris Paddack,,2.0,33.0,14.3,12.3695,25.0,1.903,4.8,61.0,7.0,True,"Laser, ALERT",37.0,8,1.0,False
3,startool_sequential_parser,rank_player_card_block,Masyn Winn,R,St. Louis Cardinals,Chris Paddack,St. Louis Cardinals vs Chris Paddack,,,25.0,25.0,6.1945,0.0,0.953,0.0,27.0,-14.0,False,WARM,11.0,8,1.0,False
3,startool_sequential_parser,rank_player_card_block,Yohel Pozo,R,St. Louis Cardinals,Chris Paddack,St. Louis Cardinals vs Chris Paddack,,,3.0,31.6,10.075000000000001,0.0,1.55,0.0,28.0,33.0,False,"Weak Slot, COLD",,8,1.0,False
3,startool_sequential_parser,rank_player_card_block,Pedro Pagés,R,St. Louis Cardinals,Chris Paddack,St. Louis Cardinals vs Chris Paddack,,,24.0,11.1,7.202000000000001,18.2,1.108,3.4,29.0,-14.0,False,"Platoon, Rakes RHP, HOT",24.0,8,1.0,False
4,startool_sequential_parser,rank_player_card_block,TJ Friedl,L,Cincinnati Reds,Andre Pallante,Cincinnati Reds vs Andre Pallante,,,23.0,34.3,5.629,25.0,0.866,1.8,25.0,-22.0,False,"Platoon, WARM",19.0,8,1.0,False
4,startool_sequential_parser,rank_player_card_block,Elly De La Cruz,,Cincinnati Reds,Andre Pallante,Cincinnati Reds vs Andre Pallante,,8.0,21.0,23.3,9.464,6.7,1.456,1.5,49.0,16.0,True,"Rakes RHP, Laser, ALERT",40.0,8,1.0,False
4,startool_sequential_parser,rank_player_card_block,Sal Stewart,R,Cincinnati Reds,Andre Pallante,Cincinnati Reds vs Andre Pallante,,6.0,21.0,18.900000000000002,9.4055,25.0,1.447,4.5,39.0,48.0,True,ALERT,,8,1.0,False
5,startool_sequential_parser,rank_player_card_block,JJ Bleday,L,Cincinnati Reds,Andre Pallante,Cincinnati Reds vs Andre Pallante,,2.0,21.0,22.9,11.843,45.05,1.822,4.5,53.0,33.0,True,"Platoon, Weak Slot, ALERT",35.0,8,1.0,False
5,startool_sequential_parser,rank_player_card_block,Nathaniel Lowe,L,Cincinnati Reds,Andre Pallante,Cincinnati Reds vs Andre Pallante,,,19.0,28.6,10.4065,20.0,1.601,1.8,44.0,-13.0,False,"Platoon, Weak Slot, Laser, HOT",45.0,8,1.0,False
5,startool_sequential_parser,rank_player_card_block,Spencer Steer,R,Cincinnati Reds,Andre Pallante,Cincinnati Reds vs Andre Pallante,,,27.0,28.2,8.4305,28.9,1.297,3.0,34.0,6.0,True,"Weak Slot, ALERT",27.0,8,1.0,False
6,startool_sequential_parser,rank_player_card_block,Matt McLain,R,Cincinnati Reds,Andre Pallante,Cincinnati Reds vs Andre Pallante,,4.0,23.0,20.7,8.58,26.349999999999998,1.32,4.8,31.0,-9.0,True,ALERT,18.0,8,1.0,False
7,startool_sequential_parser,rank_player_card_block,JJ Wetherholt,L,St. Louis Cardinals,Chase Petty,St. Louis Cardinals vs Chase Petty,,8.0,23.0,30.3,7.0135,20.0,1.079,2.9,37.0,16.0,True,"Platoon, Rakes RHP, ALERT",25.0,8,1.0,False
7,startool_sequential_parser,rank_player_card_block,Iván Herrera,R,St. Louis Cardinals,Chase Petty,St. Louis Cardinals vs Chase Petty,,,27.0,24.3,9.1325,28.6,1.405,3.0,47.0,42.0,True,ALERT,25.0,8,1.0,False
7,startool_sequential_parser,rank_player_card_block,Alec Burleson,L,St. Louis Cardinals,Chase Petty,St. Louis Cardinals vs Chase Petty,,6.0,18.0,21.9,10.3675,35.699999999999996,1.595,3.2,42.0,23.0,True,"Platoon, Rakes RHP, Weak Slot, ALERT",33.0,8,1.0,False
8,startool_sequential_parser,rank_player_card_block,Nolan Gorman,L,St. Louis Cardinals,Chase Petty,St. Louis Cardinals vs Chase Petty,,4.0,37.0,40.0,6.279,31.45,0.966,1.8,37.0,-45.0,True,"Platoon, Weak Slot, ALERT",24.0,8,1.0,False
8,startool_sequential_parser,rank_player_card_block,Masyn Winn,R,St. Louis Cardinals,Chase Petty,St. Louis Cardinals vs Chase Petty,,,21.0,25.0,6.1945,0.0,0.953,0.0,28.0,3.0,False,WARM,11.0,8,1.0,False
9,startool_sequential_parser,rank_player_card_block,Victor Scott II,L,St. Louis Cardinals,Chase Petty,St. Louis Cardinals vs Chase Petty,,,26.0,28.6,5.6095,25.0,0.863,2.4,23.0,-45.0,False,"Platoon, WARM",22.0,8,1.0,False
9,startool_sequential_parser,rank_player_card_block,TJ Friedl,L,Cincinnati Reds,Kyle Leahy,Cincinnati Reds vs Kyle Leahy,,,24.0,34.3,5.629,25.0,0.866,1.8,27.0,-22.0,False,"Platoon, WARM",19.0,8,1.0,False
10,startool_sequential_parser,rank_player_card_block,Sal Stewart,R,Cincinnati Reds,Kyle Leahy,Cincinnati Reds vs Kyle Leahy,,6.0,22.0,19.8,9.4055,25.0,1.447,4.5,40.0,48.0,True,ALERT,26.0,8,1.0,False
10,startool_sequential_parser,rank_player_card_block,JJ Bleday,L,Cincinnati Reds,Kyle Leahy,Cincinnati Reds vs Kyle Leahy,,2.0,24.0,22.9,11.843,45.9,1.822,4.5,54.0,33.0,True,"Platoon, ALERT",35.0,8,1.0,False
10,startool_sequential_parser,rank_player_card_block,Nathaniel Lowe,L,Cincinnati Reds,Kyle Leahy,Cincinnati Reds vs Kyle Leahy,,,25.0,28.6,10.4065,20.0,1.601,1.8,45.0,-13.0,False,"Platoon, Laser, HOT",45.0,8,1.0,False
11,startool_sequential_parser,rank_player_card_block,Tyler Stephenson,R,Cincinnati Reds,Kyle Leahy,Cincinnati Reds vs Kyle Leahy,,,18.0,18.8,5.2844999999999995,27.2,0.813,1.8,32.0,-19.0,False,"Weak Slot, HOT",26.0,8,1.0,False
11,startool_sequential_parser,rank_player_card_block,Matt McLain,R,Cincinnati Reds,Kyle Leahy,Cincinnati Reds vs Kyle Leahy,,4.0,21.0,18.900000000000002,8.58,28.05,1.32,4.8,33.0,-9.0,True,"Weak Slot, ALERT",18.0,8,1.0,False
12,startool_sequential_parser,rank_player_card_block,Chandler Simpson,L,Tampa Bay Rays,Ryan Weathers,Tampa Bay Rays vs Ryan Weathers,,7.0,11.0,15.0,6.343999999999999,0.0,0.976,0.0,20.0,-23.0,False,COLD,14.0,8,1.0,False
12,startool_sequential_parser,rank_player_card_block,Junior Caminero,R,Tampa Bay Rays,Ryan Weathers,Tampa Bay Rays vs Ryan Weathers,,1.0,20.0,29.4,9.854,33.3,1.516,5.7,64.0,30.0,True,"Platoon, Weak Slot, Laser, ALERT",33.0,8,1.0,False
13,startool_sequential_parser,rank_player_card_block,Yandy Díaz,R,Tampa Bay Rays,Ryan Weathers,Tampa Bay Rays vs Ryan Weathers,,4.0,10.0,18.8,8.7815,23.1,1.351,4.5,44.0,3.0,True,"Platoon, Laser, ALERT",26.0,8,1.0,False
13,startool_sequential_parser,rank_player_card_block,Jonny DeLuca,R,Tampa Bay Rays,Ryan Weathers,Tampa Bay Rays vs Ryan Weathers,,6.0,23.0,25.0,6.838,0.0,1.052,0.0,37.0,-15.0,False,"Platoon, COLD",11.0,8,1.0,False
13,startool_sequential_parser,rank_player_card_block,Richie Palacios,L,Tampa Bay Rays,Ryan Weathers,Tampa Bay Rays vs Ryan Weathers,,9.0,13.0,24.2,5.531499999999999,0.0,0.851,0.0,27.0,8.0,False,"Weak Slot, WARM",41.0,8,1.0,False
14,startool_sequential_parser,rank_player_card_block,Nick Fortes,R,Tampa Bay Rays,Ryan Weathers,Tampa Bay Rays vs Ryan Weathers,,3.0,17.0,15.8,4.823,0.0,0.742,0.0,34.0,2.0,False,"Platoon, Weak Slot, WARM",33.0,8,1.0,False
14,startool_sequential_parser,rank_player_card_block,Taylor Walls,,Tampa Bay Rays,Ryan Weathers,Tampa Bay Rays vs Ryan Weathers,,8.0,23.0,21.1,6.604,0.0,1.016,0.0,19.0,1.0,False,HOT,13.0,8,1.0,False
14,startool_sequential_parser,rank_player_card_block,Trent Grisham,L,New York Yankees,Drew Rasmussen,New York Yankees vs Drew Rasmussen,,4.0,15.0,16.7,7.331999999999999,28.9,1.128,1.8,34.0,12.0,True,"Platoon, ALERT",,8,1.0,False
15,startool_sequential_parser,rank_player_card_block,Ben Rice,L,New York Yankees,Drew Rasmussen,New York Yankees vs Drew Rasmussen,,1.0,14.0,25.8,11.290500000000002,38.5,1.737,7.8,41.0,5.0,True,"Platoon, Rakes RHP, ALERT",37.0,8,1.0,False
15,startool_sequential_parser,rank_player_card_block,Aaron Judge,R,New York Yankees,Drew Rasmussen,New York Yankees vs Drew Rasmussen,,7.0,30.0,20.0,5.148000000000001,45.05,0.792,1.5,53.0,29.0,False,"Weak Slot, Laser, WARM",34.0,8,1.0,False
15,startool_sequential_parser,rank_player_card_block,Cody Bellinger,L,New York Yankees,Drew Rasmussen,New York Yankees vs Drew Rasmussen,,2.0,12.0,18.5,8.9895,26.349999999999998,1.383,1.5,31.0,32.0,False,"Platoon, HOT",26.0,8,1.0,False
16,startool_sequential_parser,rank_player_card_block,Ryan McMahon,L,New York Yankees,Drew Rasmussen,New York Yankees vs Drew Rasmussen,,3.0,28.0,25.2,6.513,35.699999999999996,1.002,3.8,42.0,11.0,False,"Platoon, HOT",32.0,8,1.0,False
16,startool_sequential_parser,rank_player_card_block,José Caballero,R,New York Yankees,Drew Rasmussen,New York Yankees vs Drew Rasmussen,,8.0,14.0,12.1,6.5455,25.0,1.007,1.9,23.0,-55.0,False,"Weak Slot, WARM",7.0,8,1.0,False
17,startool_sequential_parser,rank_player_card_block,Jeremy Peña,R,Houston Astros,Colin Rea,Houston Astros vs Colin Rea,,9.0,21.0,21.7,4.615,0.0,0.71,0.0,29.0,8.0,False,"Platoon, Laser, COLD",38.0,8,1.0,False
18,startool_sequential_parser,rank_player_card_block,Isaac Paredes,R,Houston Astros,Colin Rea,Houston Astros vs Colin Rea,,5.0,15.0,22.2,6.175,25.0,0.95,3.3,25.0,-6.0,True,"Weak Slot, ALERT",10.0,8,1.0,False
18,startool_sequential_parser,rank_player_card_block,Christian Walker,R,Houston Astros,Colin Rea,Houston Astros vs Colin Rea,,6.0,26.0,23.400000000000002,5.148000000000001,18.2,0.792,3.3,45.0,15.0,True,"Weak Slot, ALERT",32.0,8,1.0,False
18,startool_sequential_parser,rank_player_card_block,Cam Smith,R,Houston Astros,Colin Rea,Houston Astros vs Colin Rea,,8.0,29.0,26.1,3.0,0.0,0.43,0.0,52.0,12.0,False,WARM,22.0,8,1.0,False
19,startool_sequential_parser,rank_player_card_block,Zach Cole,L,Houston Astros,Colin Rea,Houston Astros vs Colin Rea,,2.0,47.0,12.5,7.539999999999999,25.0,1.16,4.5,52.0,-2.0,False,"Platoon, Weak Slot, HOT",,8,1.0,False
19,startool_sequential_parser,rank_player_card_block,Braden Shewmake,L,Houston Astros,Colin Rea,Houston Astros vs Colin Rea,,4.0,19.0,21.2,10.478000000000002,22.2,1.612,4.2,23.0,3.0,False,"Platoon, COLD",38.0,8,1.0,False
19,startool_sequential_parser,rank_player_card_block,Christian Vázquez,R,Houston Astros,Colin Rea,Houston Astros vs Colin Rea,,3.0,22.0,26.7,6.0255,25.0,0.927,4.5,24.0,8.0,False,HOT,,8,1.0,False
20,startool_sequential_parser,rank_player_card_block,Nico Hoerner,R,Houston Astros,Colin Rea,Houston Astros vs Colin Rea,,9.0,6.0,22.0,5.226,0.0,0.804,0.0,26.0,101.0,False,"Weak Slot, COLD",13.0,8,1.0,False
20,startool_sequential_parser,rank_player_card_block,Moisés Ballesteros,L,Houston Astros,Colin Rea,Houston Astros vs Colin Rea,,4.0,28.0,29.4,3.38,35.699999999999996,0.52,2.0,42.0,-4.0,False,"Platoon, WARM",35.0,8,1.0,False
20,startool_sequential_parser,rank_player_card_block,Alex Bregman,R,Houston Astros,Colin Rea,Houston Astros vs Colin Rea,,5.0,21.0,38.2,9.776,25.5,1.504,1.5,30.0,6.0,False,"Rakes RHP, Weak Slot, HOT",24.0,8,1.0,False
21,startool_sequential_parser,rank_player_card_block,Seiya Suzuki,R,Houston Astros,Colin Rea,Houston Astros vs Colin Rea,,6.0,27.0,14.3,5.057,32.3,0.778,1.5,38.0,9.0,False,"Weak Slot, WARM",18.0,8,1.0,False
21,startool_sequential_parser,rank_player_card_block,Michael Busch,L,Houston Astros,Colin Rea,Houston Astros vs Colin Rea,,2.0,31.0,26.9,8.5475,25.0,1.315,1.5,29.0,18.0,True,"Platoon, Rakes RHP, ALERT",18.0,8,1.0,False
21,startool_sequential_parser,rank_player_card_block,Carson Kelly,R,Houston Astros,Colin Rea,Houston Astros vs Colin Rea,,8.0,17.0,20.0,5.5055,0.0,0.847,0.0,33.0,-9.0,False,WARM,28.0,8,1.0,False
22,startool_sequential_parser,rank_player_card_block,Pete Crow-Armstrong,L,Houston Astros,Colin Rea,Houston Astros vs Colin Rea,,3.0,31.0,13.0,8.398,35.699999999999996,1.292,5.1,42.0,-2.0,False,"Platoon, HOT",27.0,8,1.0,False
22,startool_sequential_parser,rank_player_card_block,Dansby Swanson,R,Houston Astros,Colin Rea,Houston Astros vs Colin Rea,,7.0,21.0,11.1,5.265000000000001,25.0,0.81,1.7,29.0,36.0,False,"Rakes RHP, HOT",29.0,8,1.0,False
23,startool_sequential_parser,rank_player_card_block,Brandon Lowe,L,Pittsburgh Pirates,Patrick Corbin,Pittsburgh Pirates vs Patrick Corbin,,1.0,26.0,25.0,15.158,26.3,2.332,7.5,44.0,-24.0,True,"Weak Slot, Laser, ALERT",26.0,8,1.0,False
23,startool_sequential_parser,rank_player_card_block,Bryan Reynolds,,Pittsburgh Pirates,Patrick Corbin,Pittsburgh Pirates vs Patrick Corbin,,9.0,22.0,10.5,9.3925,0.0,1.445,0.0,39.0,19.0,False,"Eats LHP, WARM",25.0,8,1.0,False
23,startool_sequential_parser,rank_player_card_block,Marcell Ozuna,R,Pittsburgh Pirates,Patrick Corbin,Pittsburgh Pirates vs Patrick Corbin,,3.0,30.0,27.0,10.92,20.0,1.68,4.3,39.0,-20.0,False,"Platoon, HOT",24.0,8,1.0,False
24,startool_sequential_parser,rank_player_card_block,Nick Gonzales,R,Pittsburgh Pirates,Patrick Corbin,Pittsburgh Pirates vs Patrick Corbin,,7.0,18.0,20.0,10.66,0.0,1.64,0.0,31.0,1.0,False,"Platoon, Weak Slot, WARM",10.0,8,1.0,False
24,startool_sequential_parser,rank_player_card_block,Konnor Griffin,R,Pittsburgh Pirates,Patrick Corbin,Pittsburgh Pirates vs Patrick Corbin,,4.0,33.0,25.0,11.726,25.0,1.804,1.5,46.0,18.0,False,"Platoon, Eats LHP, Laser, WARM",19.0,8,1.0,False
24,startool_sequential_parser,rank_player_card_block,Spencer Horwitz,L,Pittsburgh Pirates,Patrick Corbin,Pittsburgh Pirates vs Patrick Corbin,,5.0,12.0,23.1,6.506499999999999,25.0,1.001,1.8,28.0,3.0,False,HOT,13.0,8,1.0,False
24,startool_sequential_parser,rank_player_card_block,Jared Triolo,R,Pittsburgh Pirates,Patrick Corbin,Pittsburgh Pirates vs Patrick Corbin,,8.0,14.0,30.0,6.818499999999999,0.0,1.049,0.0,28.0,18.0,False,"Platoon, Weak Slot, COLD",,8,1.0,False
